اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Pocketpair,Intel Core i5-3570K / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280,20 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Palia,Intel Core i3-4160 / AMD FX-6300,6 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Disney Dreamlight Valley,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Coral Island,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Fae Farm,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
My Time at Sandrock,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Stardew Valley,2 GHz Processor,2 GB,"256 MB Video Memory, Shader Model 3.0+",500 MB,Windows Vista,Intel Core i5 / AMD equivalent,4 GB,NVIDIA GTX 460 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Terraria,1.6 GHz,512 MB,128 MB Video Memory,200 MB,Windows XP,2.0 GHz,4 GB,256 MB Video Memory,200 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Starbound,Dual Core 2.0 GHz,2 GB,256 MB Video Memory,3 GB,Windows XP,Dual Core 3.0 GHz,4 GB,512 MB Video Memory,3 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Don't Starve Together,1.7 GHz,1 GB,"256 MB Video Memory, Shader Model 3.0",750 MB,Windows Vista,1.7 GHz,4 GB,512 MB Video Memory,750 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Oxygen Not Included,Dual Core 2.0 GHz,4 GB,Intel HD 4600,2 GB,Windows 7,Dual Core 3.0 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,2 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
RimWorld,Core 2 Duo,4 GB,Intel HD Graphics 4000,1 GB,Windows 7,Core i5,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,1 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Factorio,Dual core 3Ghz+,4 GB,512MB Video Memory,3 GB,Windows 10,Quad core 3Ghz+,8 GB,2GB Video Memory,3 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Satisfactory,i5-3570 3.4 GHz 4 Core,8 GB,NVIDIA GTX 770 2GB / AMD Radeon R9 280,20 GB,Windows 10 64-bit,i5-4670 3.4 GHz 4 Core,16 GB,NVIDIA GTX 1060 6GB / AMD RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dyson Sphere Program,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,3 GB,Windows 7,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,3 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Shapez,2 GHz Dual Core,4 GB,Intel HD Graphics 4000,300 MB,Windows 10,2 GHz Dual Core,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,300 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Mindustry,1.5 GHz,1 GB,Any,200 MB,Windows 7,2.0 GHz,2 GB,Any,200 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Slay the Spire,2.0 GHz,4 GB,"256 MB Video Memory, OpenGL 2.0+",1 GB,Windows XP,2.2 GHz,8 GB,512 MB Video Memory,1 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Hades,Dual Core 2.4 GHz,4 GB,1GB VRAM / DirectX 10+,15 GB,Windows 7 SP1,Dual Core 3.0 GHz,8 GB,2GB VRAM / DirectX 11+,15 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Hades II,Dual Core 2.4 GHz,4 GB,1GB VRAM / DirectX 10+,15 GB,Windows 7 SP1,Dual Core 3.0 GHz,8 GB,2GB VRAM / DirectX 11+,15 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Dead Cells,Intel Core i5+,2 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB,Windows 7+,Intel Core i7+,4 GB,NVIDIA GTX 760 / AMD Radeon HD 7870,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Hollow Knight,Intel Core 2 Duo E5200,4 GB,GeForce 9800GTX+ (1GB),9 GB,Windows 7,Intel Core i5,8 GB,GeForce GTX 560,9 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Hollow Knight: Silksong,Intel Core i5-4460 / AMD FX-6300,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280,10 GB,Windows 10,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Ori and the Blind Forest,Intel Core 2 Duo E4500 @ 2.2GHz / AMD Athlon 64 X2 5600+ @ 2.8 GHz,4 GB,NVIDIA GeForce 240 GT / AMD Radeon HD 6570,8 GB,Windows 7,Intel Core i5-2300 / AMD Phenom II X4 945,8 GB,NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 6770,8 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Ori and the Will of the Wisps,Intel Core i5-4460 / AMD FX-6300,8 GB,NVIDIA GTX 760 / AMD Radeon R7 260X,20 GB,Windows 10,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Celeste,Intel Core i3 M380,2 GB,Intel HD 4000,1200 MB,Windows 7,Intel Core i5-2300 / AMD FX-6300,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,1200 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Cuphead,"Intel Core2 Duo E8400, 3.0GHz / AMD Athlon 64 X2 6000+, 3.0GHz",3 GB,NVIDIA GeForce GTS 450 / ATI Radeon HD 3870,4 GB,Windows 7,Intel Core i5-4460 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 660 / ATI Radeon HD 7870,4 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Undertale,Core 2 Duo,2 GB,128 MB Video Memory,200 MB,Windows XP,Core i3,4 GB,256 MB Video Memory,200 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Deltarune,Core 2 Duo,2 GB,128 MB Video Memory,200 MB,Windows XP,Core i3,4 GB,256 MB Video Memory,200 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
OneShot,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows XP,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Ib,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Mad Father,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Corpse Party,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Ao Oni,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
The Witch's House,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Misao,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Pocket Mirror,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Little Red Lie,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Lisa: The Painful,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
OFF,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Yume Nikki,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
.flow,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
2kki,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Bioshock Infinite,Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,NVIDIA 8800 GT / AMD Radeon HD 3870,20 GB,Windows Vista SP2,Quad Core Processor,4 GB,NVIDIA GTX 560 / AMD Radeon HD 6950,20 GB SSD,Windows 7/8/10,"technical.city, Steam Store, official game websites"
Bioshock Remastered,Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA 8800 GT / AMD Radeon HD 3870,25 GB,Windows 7,Intel Core i5-760 / AMD Phenom II X4,8 GB,NVIDIA GTX 670 / AMD Radeon HD 7970,25 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Bioshock 2 Remastered,Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA 8800 GT / AMD Radeon HD 3870,25 GB,Windows 7,Intel Core i5-760 / AMD Phenom II X4,8 GB,NVIDIA GTX 670 / AMD Radeon HD 7970,25 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Bioshock Infinite Remastered,Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA 8800 GT / AMD Radeon HD 3870,45 GB,Windows 7,Intel Core i5-760 / AMD Phenom II X4,8 GB,NVIDIA GTX 670 / AMD Radeon HD 7970,45 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Borderlands 3,AMD FX-8350 / Intel i5-3570,6 GB,AMD Radeon HD 7970 / NVIDIA GeForce GTX 680 2GB,75 GB,Windows 7/8/10,AMD Ryzen 5 2600 / Intel i7-4770,16 GB,AMD Radeon RX 590 / NVIDIA GeForce GTX 1060 6GB,75 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Borderlands 2,2.4 GHz Dual Core Processor,2 GB,NVIDIA GeForce 8500 / ATI Radeon HD 2600,13 GB,Windows XP SP3,2.3 GHz Quad Core Processor,4 GB,NVIDIA GeForce GTX 560 / ATI Radeon HD 5850,13 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Tales from the Borderlands,Core 2 Duo 2GHz+,3 GB,ATI or NVIDIA card w/512 MB RAM,3 GB,Windows XP SP3,Core 2 Duo 2GHz+,4 GB,ATI or NVIDIA card w/1 GB RAM,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Tiny Tina's Wonderlands,AMD FX-8350 / Intel i5-3570,6 GB,AMD Radeon HD 7970 / NVIDIA GeForce GTX 680 2GB,75 GB,Windows 10,AMD Ryzen 5 2600 / Intel i7-4770,16 GB,AMD Radeon RX 590 / NVIDIA GeForce GTX 1060 6GB,75 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Dishonored,3.0 GHz dual core or better,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5850,9 GB,Windows Vista / Windows 7,2.4 GHz quad core or better,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7950,9 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dishonored 2,Intel Core i5-2400/AMD FX-8320 or better,8 GB,NVIDIA GeForce GTX 660 2GB/AMD Radeon HD 7970 3GB or better,60 GB,Windows 7/8/10,Intel Core i7-4770/AMD FX-8350 or better,16 GB,NVIDIA GeForce GTX 1060 6GB/AMD Radeon RX 480 8GB or better,60 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dishonored: Death of the Outsider,Intel Core i5-2400 / AMD FX-8320,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7970,32 GB,Windows 7/8/10,Intel Core i7-4770 / AMD FX-8350,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 480,32 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Prey (2017),"Intel i5-2400, AMD FX-8320",8 GB,"GTX 660 2GB, AMD Radeon 7850 2GB",20 GB,Windows 7/8/10,"Intel i7-2600K, AMD FX-8350",16 GB,"GTX 970 4GB, AMD Radeon R9 290 4GB",20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wolfenstein: The New Order,Intel Core i7 or equivalent AMD,4 GB,"GeForce 460, ATI Radeon HD 6850",50 GB,Windows 7/8,Intel Core i7 or equivalent AMD,8 GB,NVIDIA GeForce GTX 560 / ATI Radeon HD 6950,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wolfenstein II: The New Colossus,AMD FX-8350 / Intel Core i5-3570,8 GB,NVIDIA GTX 770 4GB / AMD Radeon R9 290 4GB,55 GB,Windows 7/8/10,AMD FX-9370 / Intel Core i7-4770,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 480 8GB,55 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wolfenstein: Youngblood,AMD FX-8350 / Intel Core i5-3570,8 GB,NVIDIA GTX 770 4GB / AMD Radeon R9 290 4GB,40 GB,Windows 7/8/10,AMD Ryzen 5 1600X / Intel Core i7-4770,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 480 8GB,40 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
DOOM (2016),Intel Core i5-2400 / AMD FX-8320,8 GB,NVIDIA GTX 670 2GB / AMD Radeon HD 7870 2GB,50 GB,Windows 7/8.1/10,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GTX 970 4GB / AMD Radeon R9 290 4GB,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
DOOM Eternal,Intel Core i5 / AMD Ryzen 3,8 GB,NVIDIA GTX 1050Ti / AMD Radeon R9 280,80 GB,Windows 7/8.1/10,Intel Core i7-6700K / AMD Ryzen 7 1800X,8 GB,NVIDIA GTX 1080 / AMD Radeon RX Vega 56,80 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Quake Champions,Intel Core i5-2400 / AMD FX-8320,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,20 GB,Windows 7/8/10,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rage 2,Intel Core i5-3570 / AMD Ryzen 3 1300X,8 GB,NVIDIA GTX 780 3GB / AMD Radeon R9 280 3GB,50 GB,Windows 7/8.1/10,Intel Core i7-4770 / AMD Ryzen 5 1600X,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Evil Within,i7 or an equivalent with four plus core processor,4 GB,GTX 460 or equivalent 1 GB VRAM card,50 GB,Windows 7/8,i7 with four plus cores,8 GB,GTX 670 or equivalent with 4GBs of VRAM,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Evil Within 2,Intel Core i5-2400 / AMD FX-8320 or better,8 GB,NVIDIA GTX 660 2GB / AMD HD 7970 3GB,40 GB,Windows 7/8.1/10,Intel Core i7-4770 / AMD Ryzen 5 1600X or better,16 GB,NVIDIA GTX 1060 6GB / AMD RX 480 8GB,40 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ghostwire: Tokyo,CORE I7 4770K @ 3.5GHZ OR AMD RYZEN 5 1600,12 GB,NVIDIA GTX 1060 OR AMD RX 5500 XT (VRAM 6 GB OR HIGHER),20 GB,Windows 10 64-bit,CORE I7 6700 @ 3.4GHZ OR AMD RYZEN 5 2600,16 GB,NVIDIA GTX 1080 OR AMD RX 5600 XT (VRAM 6 GB OR HIGHER),20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Hi-Fi Rush,Intel Core i5-6500 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,20 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1660 Ti / AMD Radeon RX 6600,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Deathloop,Intel Core i5-8400 / AMD Ryzen 5 1600,12 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 580,30 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 2700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Redfall,Intel Core i5-8400 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1070 8GB / AMD Radeon RX 580,100 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 2700X,32 GB,NVIDIA RTX 2080 / AMD Radeon RX 6800,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fallout 4,Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz,8 GB,NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB,30 GB,Windows 7/8/10,Intel Core i7 4790 3.6 GHz/AMD FX-9590 4.7 GHz,8 GB,NVIDIA GTX 780 3GB/AMD Radeon R9 290X 4GB,30 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout 76,Intel Core i5-6600k 3.5 GHz / AMD Ryzen 3 1300X 3.5 GHz,8 GB,NVIDIA GTX 780 3GB / AMD Radeon R9 285 2GB,80 GB,Windows 7/8.1/10,Intel Core i7-4790 3.6 GHz / AMD Ryzen 5 1500X 3.5 GHz,8 GB,NVIDIA GTX 970 4GB / AMD Radeon R9 290X 4GB,80 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout: New Vegas,Dual Core 2.0 GHz,2 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,10 GB,Windows 7/Vista/XP,Intel Core 2 Duo / AMD equivalent,4 GB,NVIDIA GTX 260 / ATI Radeon HD 4870,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout 3,2.4 GHz Intel Pentium 4 / AMD equivalent,1 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,7 GB,Windows XP/Vista,Intel Core 2 Duo / AMD equivalent,2 GB,NVIDIA GTX 260 / ATI Radeon HD 4870,7 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls V: Skyrim,Dual Core 2.0 GHz,2 GB,NVIDIA GeForce 7600 GS / ATI Radeon X1950 Pro,6 GB,Windows 7/Vista/XP,Quad-core Intel/AMD CPU,4 GB,NVIDIA GTX 260 / ATI Radeon HD 4890,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls V: Skyrim Special Edition,Intel i5-750/AMD Phenom II X4-945,8 GB,NVIDIA GTX 470 1GB /AMD HD 7870 2GB,12 GB,Windows 7/8.1/10,Intel i5-2400/AMD FX-8320,8 GB,NVIDIA GTX 780 3GB /AMD R9 290 4GB,12 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls Online,Intel Core i3-540 / AMD A6-3620,3 GB,NVIDIA GeForce 460 / AMD Radeon 6850,85 GB,Windows 7/8/10,Intel Core i5-2500K / AMD FX-8320,8 GB,NVIDIA GeForce GTX 750 / AMD Radeon HD 7850,85 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Starfield,Intel Core i7-6800K / AMD Ryzen 5 2600X,16 GB,NVIDIA GeForce GTX 1070 Ti / AMD Radeon RX 5700,125 GB SSD,Windows 10 64-bit,Intel Core i7-9800X / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2080 / AMD Radeon RX 6800 XT,125 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Mass Effect Legendary Edition,Intel Core i5 3570 / AMD FX-8350,8 GB,"NVIDIA GTX 760, AMD Radeon 7970 / R9280X",120 GB,Windows 10,Intel Core i7-7700 / AMD Ryzen 7 3700X,16 GB,"NVIDIA GTX 1070 / RTX 2060, AMD Radeon Vega 56",120 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Mass Effect: Andromeda,Intel Core i5 3570 / AMD FX-6350,8 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",55 GB,Windows 7/8.1/10,Intel Core i7-4790 / AMD FX-8350,16 GB,"NVIDIA GTX 1060 3GB, AMD RX 480",55 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dragon Age: Inquisition,AMD quad core CPU @ 2.5 GHz / Intel quad core CPU @ 2.0 GHz,4 GB,Radeon HD 4870 / GeForce 8800 GT,26 GB,Windows 7/8.1,AMD six core CPU @ 3.2 GHz / Intel quad core CPU @ 3.0 GHz,8 GB,Radeon HD 7870 R9 270 / GeForce GTX 660,26 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dragon Age II,Intel Core 2 Duo 1.8 GHz / AMD Athlon 64 X2 1.8 GHz,1 GB,Radeon HD 2600 Pro / NVIDIA GeForce 7900 GS,7 GB,Windows XP/Vista/7,Intel Core 2 Quad 2.4 GHz / AMD Phenom II X3 Triple core 2.8 GHz,2 GB,ATI 3850 / NVIDIA 8800GTS,7 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dragon Age: Origins,Intel Core 2 Single 1.6 Ghz Processor,1 GB,ATI Radeon X850 256MB / NVIDIA GeForce 6600 GT,20 GB,Windows XP,Intel Core 2 Duo 2.4 Ghz Processor,2 GB,ATI Radeon HD 3850 512MB / NVIDIA GeForce 8800GTS 512MB,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Anthem,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GTX 760 / AMD Radeon 7970 / R9 280X,50 GB,Windows 10,Intel Core i7-4790 3.6GHz / AMD Ryzen 3 1300X,16 GB,NVIDIA GTX 1060 / RTX 2060 / AMD RX 480,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield 2042,Intel Core i5 6600K / AMD Ryzen 5 3600,8 GB,NVIDIA GeForce GTX 1050 Ti / AMD Radeon RX 560,100 GB,Windows 10 64-bit,Intel Core i7 4790 / AMD Ryzen 7 2700X,16 GB,NVIDIA GeForce RTX 3060 / AMD Radeon RX 6600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Battlefield V,Intel Core i5 6600K / AMD FX-8350,8 GB,NVIDIA GeForce GTX 1050 / NVIDIA GeForce GTX 660 2GB,50 GB,Windows 10,Intel Core i7 4790 / AMD Ryzen 3 1300X,12 GB,NVIDIA GeForce GTX 1060 6GB / AMD Radeon RX 580 8GB,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield 1,Intel Core i5 6600K / AMD FX-6350,8 GB,NVIDIA GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,50 GB,Windows 7/8.1/10,Intel Core i7 4790 / AMD FX-8350,16 GB,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 480 4GB,50 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield 4,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,4 GB,AMD Radeon HD 3870 / NVIDIA GeForce 8800 GT,30 GB,Windows Vista SP2,Intel Quad-Core CPU / AMD Six-Core CPU,8 GB,AMD Radeon HD 7870 / NVIDIA GeForce GTX 660,30 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield 3,2 GHz Dual Core (Core 2 Duo 2.4 GHz or Athlon X2 2.7 GHz),2 GB,AMD DirectX 10.1 compatible or NVIDIA DirectX 10.0 compatible,20 GB,Windows Vista,Quad-core CPU,4 GB,AMD DirectX 11 compatible or NVIDIA DirectX 11 compatible,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield: Bad Company 2,Intel Core 2 Duo / AMD Athlon X2,2 GB,NVIDIA GeForce 7800 GT / ATI Radeon X1900,15 GB,Windows XP,Intel Core 2 Quad / AMD Phenom X4,4 GB,NVIDIA GeForce GTX 260 / ATI Radeon HD 4870,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefield: Hardline,Intel Core i3/i5 2.4 GHz / AMD Athlon II/Phenom II 2.8 GHz,4 GB,ATI Radeon HD 5770 / NVIDIA GeForce GTX 260,60 GB,Windows Vista SP2,Intel Quad-Core CPU / AMD Six-Core CPU,8 GB,AMD Radeon HD 7870 / NVIDIA GeForce GTX 660,60 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
